{'method': 'CDAN-E', 'device': device(type='cuda'), 'num_iterations': 100000, 'test_interval': 500, 'snapshot_interval': 10000, 'output_for_test': True, 'output_path': 'results', 'save': './save/0313_1736', 'out_log_file': <_io.TextIOWrapper name='results/log.txt' mode='w' encoding='UTF-8'>, 'out_wei_file': <_io.TextIOWrapper name='results/log_weights.txt' mode='w' encoding='UTF-8'>, 'prep': {'params': {'resize_size': 256, 'alexnet': False}}, 'loss': {'trade_off': 0.5, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet101', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'ma': 0.5, 'class_num': 4}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.005, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.005, 'power': 0.6}}, 'dataset': 'VIS_work', 'data': {'source': {'list_path': 'source_train_list.txt', 'batch_size': 64}, 'target': {'list_path': 'target_train_list.txt', 'batch_size': 64}, 'test': {'list_path': 'target_test_list.txt', 'dataset_path': 'target_test_list.txt_test.pkl', 'batch_size': 4}, 'root_folder': './data/VIS_dataset/all_data/2A/by_product_arranged_DA/S-1_5-T_7_major/'}, 'lr_mult_im': 1, 'ratios_source': [1, 1, 1, 1], 'ratios_target': [1, 1, 1, 1], 'dataset_mult_iw': 1, 'ratios_test': [1, 1, 1, 1]}
  iter: 00499, sec: 358, class_loss: 0.50502, da_loss: 0.63229, precision: 0.44612
  iter: 00999, sec: 358, class_loss: 0.49321, da_loss: 0.65682, precision: 0.45423
  iter: 01499, sec: 357, class_loss: 0.47816, da_loss: 0.68994, precision: 0.49479
  iter: 01999, sec: 356, class_loss: 0.34438, da_loss: 0.68136, precision: 0.50521
  iter: 02499, sec: 357, class_loss: 0.28781, da_loss: 0.71651, precision: 0.52723
  iter: 02999, sec: 361, class_loss: 0.17672, da_loss: 0.67286, precision: 0.52144
  iter: 03499, sec: 357, class_loss: 0.27809, da_loss: 0.69860, precision: 0.52028
  iter: 03999, sec: 356, class_loss: 0.23178, da_loss: 0.68450, precision: 0.51564
  iter: 04499, sec: 357, class_loss: 0.38037, da_loss: 0.68214, precision: 0.52375
  iter: 04999, sec: 356, class_loss: 0.38902, da_loss: 0.68856, precision: 0.47856
  iter: 05499, sec: 358, class_loss: 0.34388, da_loss: 0.67700, precision: 0.48088
  iter: 05999, sec: 356, class_loss: 0.33732, da_loss: 0.69621, precision: 0.47277
  iter: 06499, sec: 357, class_loss: 0.29062, da_loss: 0.69315, precision: 0.48552
  iter: 06999, sec: 356, class_loss: 0.28550, da_loss: 0.68759, precision: 0.49131
  iter: 07499, sec: 356, class_loss: 0.14258, da_loss: 0.69121, precision: 0.48783
  iter: 07999, sec: 355, class_loss: 0.18627, da_loss: 0.68333, precision: 0.47509
  iter: 08499, sec: 355, class_loss: 0.18425, da_loss: 0.69154, precision: 0.48552
  iter: 08999, sec: 355, class_loss: 0.12402, da_loss: 0.70770, precision: 0.47393
  iter: 09499, sec: 356, class_loss: 0.08340, da_loss: 0.68643, precision: 0.47045
  iter: 09999, sec: 357, class_loss: 0.31598, da_loss: 0.69604, precision: 0.52723
  iter: 10499, sec: 357, class_loss: 0.12622, da_loss: 0.69206, precision: 0.51333
  iter: 10999, sec: 357, class_loss: 0.27889, da_loss: 0.68296, precision: 0.52607
  iter: 11499, sec: 357, class_loss: 0.16632, da_loss: 0.69714, precision: 0.50753
  iter: 11999, sec: 357, class_loss: 0.37012, da_loss: 0.67941, precision: 0.51680
  iter: 12499, sec: 357, class_loss: 0.30352, da_loss: 0.68501, precision: 0.53187
  iter: 12999, sec: 357, class_loss: 0.07565, da_loss: 0.69685, precision: 0.51217
  iter: 13499, sec: 356, class_loss: 0.28769, da_loss: 0.69873, precision: 0.50637
  iter: 13999, sec: 357, class_loss: 0.16100, da_loss: 0.68007, precision: 0.52028
  iter: 14499, sec: 357, class_loss: 0.10769, da_loss: 0.68847, precision: 0.52723
  iter: 14999, sec: 356, class_loss: 0.03849, da_loss: 0.69523, precision: 0.50637
  iter: 15499, sec: 358, class_loss: 0.19807, da_loss: 0.68770, precision: 0.52723
  iter: 15999, sec: 359, class_loss: 0.07406, da_loss: 0.69182, precision: 0.50058
  iter: 16499, sec: 357, class_loss: 0.14868, da_loss: 0.68357, precision: 0.53418
  iter: 16999, sec: 357, class_loss: 0.08554, da_loss: 0.69389, precision: 0.51101
  iter: 17499, sec: 357, class_loss: 0.14608, da_loss: 0.68843, precision: 0.52607
  iter: 17999, sec: 356, class_loss: 0.13322, da_loss: 0.68091, precision: 0.51796
  iter: 18499, sec: 357, class_loss: 0.10959, da_loss: 0.68720, precision: 0.50521
  iter: 18999, sec: 357, class_loss: 0.18850, da_loss: 0.68915, precision: 0.53534
  iter: 19499, sec: 360, class_loss: 0.11900, da_loss: 0.68385, precision: 0.52260
  iter: 19999, sec: 357, class_loss: 0.22468, da_loss: 0.69520, precision: 0.45075
  iter: 20499, sec: 357, class_loss: 0.08949, da_loss: 0.68906, precision: 0.51564
  iter: 20999, sec: 357, class_loss: 0.06740, da_loss: 0.68892, precision: 0.51564
  iter: 21499, sec: 357, class_loss: 0.15814, da_loss: 0.68750, precision: 0.52028
  iter: 21999, sec: 356, class_loss: 0.08316, da_loss: 0.68655, precision: 0.52955
  iter: 22499, sec: 357, class_loss: 0.13482, da_loss: 0.67638, precision: 0.52607
  iter: 22999, sec: 356, class_loss: 0.11293, da_loss: 0.67662, precision: 0.51796
  iter: 23499, sec: 358, class_loss: 0.22996, da_loss: 0.67939, precision: 0.51912
  iter: 23999, sec: 357, class_loss: 0.07385, da_loss: 0.69376, precision: 0.50985
  iter: 24499, sec: 357, class_loss: 0.17584, da_loss: 0.68255, precision: 0.45307
  iter: 24999, sec: 359, class_loss: 0.14823, da_loss: 0.67929, precision: 0.53534
  iter: 25499, sec: 358, class_loss: 0.11416, da_loss: 0.68614, precision: 0.52144
  iter: 25999, sec: 356, class_loss: 0.15275, da_loss: 0.68231, precision: 0.53766
  iter: 26499, sec: 357, class_loss: 0.11415, da_loss: 0.68225, precision: 0.46234
  iter: 26999, sec: 357, class_loss: 0.11928, da_loss: 0.68096, precision: 0.52839
  iter: 27499, sec: 358, class_loss: 0.13477, da_loss: 0.67566, precision: 0.52260
  iter: 27999, sec: 355, class_loss: 0.12722, da_loss: 0.69343, precision: 0.54114
  iter: 28499, sec: 357, class_loss: 0.09482, da_loss: 0.69194, precision: 0.54229
  iter: 28999, sec: 357, class_loss: 0.22277, da_loss: 0.68635, precision: 0.46002
  iter: 29499, sec: 357, class_loss: 0.14083, da_loss: 0.70201, precision: 0.54693
  iter: 29999, sec: 356, class_loss: 0.13451, da_loss: 0.68235, precision: 0.51448
  iter: 30499, sec: 357, class_loss: 0.12362, da_loss: 0.68410, precision: 0.45655
  iter: 30999, sec: 358, class_loss: 0.19892, da_loss: 0.68679, precision: 0.52955
  iter: 31499, sec: 359, class_loss: 0.07522, da_loss: 0.68447, precision: 0.55041
